WORD,DEFINITION,ID,LIST_CATEGORY,WORD_ID
abacus,frame with balls for calculating       ,1,GRE,GRE_1
abate,to lessen to subside        ,2,GRE,GRE_2
abdication,giving up control authority        ,3,GRE,GRE_3
aberration,straying away from what is normal      ,4,GRE,GRE_4
abet,help/encourage smb (in doing wrong)     ,5,GRE,GRE_5
abeyance,suspended action          ,6,GRE,GRE_6
abhor,to hate to detest        ,7,GRE,GRE_7
abide,be faithful to endure        ,8,GRE,GRE_8
abjure,promise or swear to give up      ,9,GRE,GRE_9
abraded,rubbed off worn away by friction      ,10,GRE,GRE_10
abrogate,repeal or annul by authority       ,11,GRE,GRE_11
abscond,to go away suddenly (to avoid arrest)     ,12,GRE,GRE_12
abstruse,difficult to comprehend obscure        ,13,GRE,GRE_13
abut,border on          ,14,GRE,GRE_14
abysmal,bottomless extreme          ,15,GRE,GRE_15
acarpous,effete no longer fertile worn out      ,16,GRE,GRE_16
acclaimed,welcomed with shouts and approval       ,17,GRE,GRE_17
accolade,praise approval          ,18,GRE,GRE_18
accretion,the growing of separate things into one     ,19,GRE,GRE_19
adamant,kind of stone inflexible        ,20,GRE,GRE_20
admonitory,containing warning          ,21,GRE,GRE_21
adorn,add beauty decorate         ,22,GRE,GRE_22
adulteration,making unpure poorer in quality       ,23,GRE,GRE_23
affable,polite and friendly       ,24,GRE,GRE_24
affinity,close connection relationship         ,25,GRE,GRE_25
aggravate,make worse irritate         ,26,GRE,GRE_26
agile,active quick-moving          ,27,GRE,GRE_27
agog,eager/excited         ,28,GRE,GRE_28
ail,trouble be ill         ,29,GRE,GRE_29
alacrity,eager and cheerful readiness        ,30,GRE,GRE_30
alcove,recess/partially enclosed place       ,31,GRE,GRE_31
allegiance,duty support loyalty         ,32,GRE,GRE_32
alleviate,make (pain) easier to bear       ,33,GRE,GRE_33
alloy,to debase by mixing with something inferior     ,34,GRE,GRE_34
aloof,reserved indifferent          ,35,GRE,GRE_35
amalgamate,mix combine unite societies        ,36,GRE,GRE_36
ambidextrous,able to use the left hand or the right equally well ,37,GRE,GRE_37
ambiguous,doubtful uncertain          ,38,GRE,GRE_38
ambivalent,having both of two contrary meanings      ,39,GRE,GRE_39
ameliorate,improve make better         ,40,GRE,GRE_40
amortize,end (a debt) by setting aside money     ,41,GRE,GRE_41
anguish,severe suffering        ,42,GRE,GRE_42
animosity,strong dislike          ,43,GRE,GRE_43
antidote,medicine used against a poison or a disease    ,44,GRE,GRE_44
antithetical,direct opposing          ,45,GRE,GRE_45
apartheid,brutal racial discrimination         ,46,GRE,GRE_46
aplomb,self-confidence           ,47,GRE,GRE_47
apostate,one who abandons long-held religious or political convictions    ,48,GRE,GRE_48
apotheosis,deification glorification to godliness        ,49,GRE,GRE_49
appease,make quiet or calm        ,50,GRE,GRE_50
apprehensive,grasping understanding fear unhappy feeling about future     ,51,GRE,GRE_51
apprise,give notice to inform        ,52,GRE,GRE_52
approbation,approval           ,53,GRE,GRE_53
apropos,appropriate to the situation apt       ,54,GRE,GRE_54
apt,well-suited quick-witted          ,55,GRE,GRE_55
arabesque,a complex ornate design        ,56,GRE,GRE_56
arboreal,of connected with trees        ,57,GRE,GRE_57
ardor,enthusiasm           ,58,GRE,GRE_58
arduous,steep difficult ascent laborious        ,59,GRE,GRE_59
argot,jargon slang          ,60,GRE,GRE_60
arrant,in the highest degree        ,61,GRE,GRE_61
arrogance,proud superior manner of behaviour       ,62,GRE,GRE_62
articulate,speak distinctly connect by joints       ,63,GRE,GRE_63
ascend,go or come up        ,64,GRE,GRE_64
ascertain,get to know         ,65,GRE,GRE_65
ascetic,practicing self-denial austere stark        ,66,GRE,GRE_66
ascribe,consider to be the origin of or belonging to   ,67,GRE,GRE_67
aseptic,surgically clean        ,68,GRE,GRE_68
asperity,roughness harshness ill temper irritability       ,69,GRE,GRE_69
aspersion,slander           ,70,GRE,GRE_70
assail,with attack violently         ,71,GRE,GRE_71
assiduous,diligent hard-working sedulous         ,72,GRE,GRE_72
